,content,engine,positions,pretty_url,pubdate,publishedDate,score,title,url,searchvalue,searchquery,ResponseCategory,country,publishedAt,contentDate
0,"Italy's decision to quarantine a quarter of its population is sending tremors ... of the virus spiking to more than 1,000 in France and 900 in Germany, ... on the export of protective medical gear, which they imposed to head off ...",startpage,[1],https://www.nytimes.com/2020/03/08/world/europe/coronavirus-europe.html,2020-03-08 00:00:00,"Mar 8, 2020",1.0,"Europe, With Eye on Italy Coronavirus Quarantine, Plans Next ...",https://www.nytimes.com/2020/03/08/world/europe/coronavirus-europe.html,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-08 00:00:00,"Italy's decision to quarantine a quarter of its population is sending tremors of the virus spiking to more than 1,000 in France and 900 in Germany, on the export of protective medical gear, which they imposed to head off"
1,13 Mar 2020 ...,startpage,[2],https://www.iamexpat.de/expat-info/ger[...]ricting-travel-germany-due-coronavirus,,,0.5,Which countries are restricting travel from Germany due to ...,https://www.iamexpat.de/expat-info/german-expat-news/which-countries-are-restricting-travel-germany-due-coronavirus,quarantin+impose,germany+quarantin+impose,lockdown,germany,,2020-03-13
2,Italy imposes region-wide coronavirus quarantine in Lombardy ... Read more: Coronavirus in Germany: Health care system under pressure.,startpage,[3],https://www.dw.com/en/italy-imposes-re[...]irus-quarantine-in-lombardy/a-52679158,2020-03-07 00:00:00,"Mar 7, 2020",0.3333333333333333,Italy imposes region-wide coronavirus quarantine in Lombardy | DW ...,https://www.dw.com/en/italy-imposes-region-wide-coronavirus-quarantine-in-lombardy/a-52679158,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-07 00:00:00,Italy imposes region-wide coronavirus quarantine in Lombardy Read more: Coronavirus in Germany: Health care system under pressure.
3,"Coronavirus: Merkel goes into quarantine as Germany imposes extreme ... Jill Petzinger, Germany Correspondent, Yahoo Finance UK.",startpage,[4],https://finance.yahoo.com/news/coronav[...]-restrictions-on-public-175932312.html,2020-03-22 23:40:55,"Mar 22, 2020",0.25,Coronavirus: Germany orders extreme restrictions on public life,https://finance.yahoo.com/news/coronavirus-merkel-goes-into-quarantine-as-germany-imposes-extreme-restrictions-on-public-175932312.html,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-22 23:40:55,"Coronavirus: Merkel goes into quarantine as Germany imposes extreme Jill Petzinger, Germany Correspondent, Yahoo Finance UK."
4,"German Chancellor Angela Merkel went into quarantine on Sunday after ... making sure to impose the same rules in principle across Germany,” ...",startpage,[5],https://www.thehindu.com/news/internat[...]th-infected-doctor/article31137970.ece,2020-03-22 23:40:55,"Mar 22, 2020",0.2,Coronavirus | Germany's Merkel goes into quarantine after contact ...,https://www.thehindu.com/news/international/coronavirus-germanys-merkel-goes-into-quarantine-after-contact-with-infected-doctor/article31137970.ece,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-22 23:40:55,"German Chancellor Angela Merkel went into quarantine on Sunday after making sure to impose the same rules in principle across Germany,”"
5,10 Mar 2020 ...,startpage,[6],https://www.thelocal.de/20200310/trave[...]ny-barred-from-entering-some-countries,,,0.16666666666666666,These are the countries banning or restricting travel from Germany,https://www.thelocal.de/20200310/travelers-from-germany-barred-from-entering-some-countries,quarantin+impose,germany+quarantin+impose,lockdown,germany,,2020-03-10
6,"Macau imposes quarantine on arrivals from Japan, Germany, France, Spain (Update). 9 Mar, 2020. # Social Affairs, #Tourism ...",startpage,[7],https://macaunews.mo/macau-imposes-qua[...]ivals-from-japan-germany-france-spain/,2020-03-09 00:00:00,"Mar 9, 2020",0.14285714285714285,"Macau imposes quarantine on arrivals from Japan, Germany ...",https://macaunews.mo/macau-imposes-quarantine-on-arrivals-from-japan-germany-france-spain/,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-09 00:00:00,"Macau imposes quarantine on arrivals from Japan, Germany, France, Spain (Update). 9 Mar, 2020. # Social Affairs, #Tourism"
7,Germany tightened border checks and urged the cancellation of major events as authorities across Europe took action to contain the ...,startpage,[8],https://www.bloomberg.com/news/article[...]rantines-to-contain-coronavirus-spread,2020-02-28 00:00:00,"Feb 28, 2020",0.125,Coronavirus News: Germany Steps Up Quarantines to Contain ...,https://www.bloomberg.com/news/articles/2020-02-28/germany-steps-up-quarantines-to-contain-coronavirus-spread,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-02-28 00:00:00,Germany tightened border checks and urged the cancellation of major events as authorities across Europe took action to contain the
8,... Hong Kong from all of Italy; Bourgogne-Franche-Comté and Grand Est in France; North Rhine-Westphalia in Germany; and Hokkaido in Japan.,startpage,[9],https://www.scmp.com/news/hong-kong/po[...]ng-planning-extend-travel-restrictions,2020-03-10 00:00:00,"Mar 10, 2020",0.1111111111111111,Hong Kong to quarantine arrivals from Italy and parts of France ...,https://www.scmp.com/news/hong-kong/politics/article/3074380/coronavirus-hong-kong-planning-extend-travel-restrictions,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-10 00:00:00,... Hong Kong from all of Italy; Bourgogne-Franche-Comté and Grand Est in France; North Rhine-Westphalia in Germany; and Hokkaido in Japan.
9,"... start imposing travel restrictions and quarantine rules on arrivals from ... Germany and France have each recorded more than 1,100 infections ...",startpage,[10],https://www.scmp.com/news/hong-kong/po[...]kong-should-impose-travel-restrictions,2020-03-09 00:00:00,"Mar 9, 2020",0.1,Coronavirus: Hong Kong urged to get tough on travel controls for ...,https://www.scmp.com/news/hong-kong/politics/article/3074213/coronavirus-hong-kong-should-impose-travel-restrictions,quarantin+impose,germany+quarantin+impose,lockdown,germany,2020-03-09 00:00:00,"... start imposing travel restrictions and quarantine rules on arrivals from Germany and France have each recorded more than 1,100 infections"
0,16 Mar 2020 ...,startpage,[1],https://www.thelocal.de/20200316/germa[...]y-orders-closer-of-non-essential-shops,,,1.0,Coronavirus: Germany orders closure of non-essential shops and ...,https://www.thelocal.de/20200316/germany-orders-closer-of-non-essential-shops,shutdown+shops,germany+shutdown+shops,lockdown,germany,,2020-03-16
1,"Coronavirus: Merkel announces sweeping shutdown in Germany ... that will be allowed to stay open include supermarkets, beverage shops, ...",startpage,[2],https://uk.finance.yahoo.com/news/merk[...]slow-coronavirus-spread-173908708.html,2020-03-16 00:00:00,"Mar 16, 2020",0.5,Coronavirus: Merkel announces Germany shutdown of all but ...,https://uk.finance.yahoo.com/news/merkel-announces-sweeping-shutdown-of-all-but-essential-shops-to-slow-coronavirus-spread-173908708.html,shutdown+shops,germany+shutdown+shops,lockdown,germany,2020-03-16 00:00:00,"Coronavirus: Merkel announces sweeping shutdown in Germany that will be allowed to stay open include supermarkets, beverage shops,"
2,Supermarkets and other shops that provide basic goods that are necessary for daily life will be allowed to stay open. Also excluded from ...,startpage,[3],https://www.spiegel.de/international/g[...]a-093655fd-386f-40b6-af01-e24a8cb02f6a,2020-03-16 00:00:00,"Mar 16, 2020",0.3333333333333333,Drastic Measures: Germany Moves To Shut Down Most of Public Life,https://www.spiegel.de/international/germany/germany-moves-to-shut-down-most-of-public-life-a-093655fd-386f-40b6-af01-e24a8cb02f6a,shutdown+shops,germany+shutdown+shops,lockdown,germany,2020-03-16 00:00:00,Supermarkets and other shops that provide basic goods that are necessary for daily life will be allowed to stay open. Also excluded from
3,"In the Federal Republic of Germany, the Ladenschlussgesetz or ""Shop Closing Law"" (abbreviated: LadSchlG) is the federal law regulating at which times retail ...",startpage,[4],https://en.wikipedia.org/wiki/Ladenschlussgesetz,,,0.25,Ladenschlussgesetz - Wikipedia,https://en.wikipedia.org/wiki/Ladenschlussgesetz,shutdown+shops,germany+shutdown+shops,lockdown,germany,,"In the Federal Republic of Germany, the Ladenschlussgesetz or ""Shop Closing Law"" (abbreviated: LadSchlG) is the federal law regulating at which times retail"
4,"The UK, with almost 190 stores, generates 41 per cent of Primark's ... Germany's Hypo-Vereinsbank is closing down one in three branches as ...",startpage,[5],https://www.ft.com/content/f5bedb66-51a1-3eb2-a1ef-9ab452acc357,2020-03-16 00:00:00,"Mar 16, 2020",0.2,Coronavirus: Boeing stock down 25% as credit rating cut – as it ...,https://www.ft.com/content/f5bedb66-51a1-3eb2-a1ef-9ab452acc357,shutdown+shops,germany+shutdown+shops,lockdown,germany,2020-03-16 00:00:00,"The UK, with almost 190 stores, generates 41 per cent of Primark's Germany's Hypo-Vereinsbank is closing down one in three branches as"
5,"Germany's chancellor Angela Merkel this week announced a shutdown of shops, churches, sports facilities, bars and clubs, while imposing ...",startpage,[6],https://www.ft.com/content/79d19c62-1396-3763-8b42-aaf1f091e336,2020-03-17 00:00:00,"Mar 17, 2020",0.16666666666666666,Coronavirus: US exchanges argue against shortened trading hours ...,https://www.ft.com/content/79d19c62-1396-3763-8b42-aaf1f091e336,shutdown+shops,germany+shutdown+shops,lockdown,germany,2020-03-17 00:00:00,"Germany's chancellor Angela Merkel this week announced a shutdown of shops, churches, sports facilities, bars and clubs, while imposing"
6,"With Germans snapping up canned goods and toilet paper to weather the outbreak, stores have fewer supplies left over to donate to the needy, ...",startpage,[7],https://www.dw.com/en/coronavirus-begi[...]-public-life-across-germany/a-52743358,2020-03-12 00:00:00,"Mar 12, 2020",0.14285714285714285,Coronavirus begins shutting down public life across Germany | DW ...,https://www.dw.com/en/coronavirus-begins-shutting-down-public-life-across-germany/a-52743358,shutdown+shops,germany+shutdown+shops,lockdown,germany,2020-03-12 00:00:00,"With Germans snapping up canned goods and toilet paper to weather the outbreak, stores have fewer supplies left over to donate to the needy,"
7,16 Mar 2020 ...,startpage,[8],https://www.dailymail.co.uk/news/artic[...]s-new-rules-close-essential-shops.html,,,0.125,Coronavirus Germany: All but banks and essential shops closed,https://www.dailymail.co.uk/news/article-8117883/Germany-agrees-new-rules-close-essential-shops.html,shutdown+shops,germany+shutdown+shops,lockdown,germany,,2020-03-16
8,"Many ski resorts and hotels across Europe are also closing their doors. ... Supermarkets and pharmacies remain open–other shops are required to close ... As are Chinese, South Koreans and Germans from all other regions.",startpage,[9],https://www.forbes.com/sites/tamarathi[...]avirus-europe-closes-borders-tourists/,2020-03-14 00:00:00,"Mar 14, 2020",0.1111111111111111,Coronavirus: Some Of These 24 European Countries Have Closed ...,https://www.forbes.com/sites/tamarathiessen/2020/03/14/coronavirus-europe-closes-borders-tourists/,shutdown+shops,germany+shutdown+shops,lockdown,germany,2020-03-14 00:00:00,"Many ski resorts and hotels across Europe are also closing their doors. Supermarkets and pharmacies remain open–other shops are required to close As are Chinese, South Koreans and Germans from all other regions."
9,"Germany's draconian Ladenschlussgesetz (store-closing law) had no major revisions until October 1989 with the introduction of the “long Thursday,” der lange ...",startpage,[10],https://www.german-way.com/travel-and-[...]-in-germany/shopping-hours-in-germany/,,,0.1,Shopping Hours in Germany – The German Way & More,https://www.german-way.com/travel-and-tourism/germany-for-tourists/shopping-in-germany/shopping-hours-in-germany/,shutdown+shops,germany+shutdown+shops,lockdown,germany,,"Germany's draconian Ladenschlussgesetz (store-closing law) had no major revisions until October 1989 with the introduction of the “long Thursday,” der lange"
0,"As restaurants and other services shut down on Monday, the ... by Germany's influential Ifo think tank, a partial economic shutdown could cost ...",startpage,[1],https://www.dw.com/en/coronavirus-germ[...]-costs-of-economic-shutdown/a-52890813,2020-03-23 23:40:58,"Mar 23, 2020",1.0,Coronavirus: Germany counts costs of economic shutdown | DW ...,https://www.dw.com/en/coronavirus-germany-counts-costs-of-economic-shutdown/a-52890813,shut+down,germany+shut+down,lockdown,germany,2020-03-23 23:40:58,"As restaurants and other services shut down on Monday, the by Germany's influential Ifo think tank, a partial economic shutdown could cost"
1,German authorities are turning visitors back at the airports amid the COVID-19 pandemic. Angela Merkel has urged Germans to rise to the ...,startpage,[2],https://www.dw.com/en/coronavirus-germ[...]n-borders-halts-public-life/a-52813432,2020-03-18 00:00:00,"Mar 18, 2020",0.5,"Coronavirus: Germany shuts down borders, halts public life | DW ...",https://www.dw.com/en/coronavirus-germany-shuts-down-borders-halts-public-life/a-52813432,shut+down,germany+shut+down,lockdown,germany,2020-03-18 00:00:00,German authorities are turning visitors back at the airports amid the COVID-19 pandemic. Angela Merkel has urged Germans to rise to the
2,16 Mar 2020 ...,startpage,[3],https://www.bbc.com/news/world-europe-51905129,,,0.3333333333333333,Germany closes borders to try to slow virus,https://www.bbc.com/news/world-europe-51905129,shut+down,germany+shut+down,lockdown,germany,,2020-03-16
3,"Following the March 2011 Fukushima nuclear disaster, Germany has permanently shut down eight of its 17 reactors. Galvanised by the ...",startpage,[4],https://en.wikipedia.org/wiki/Nuclear_power_phase-out,,,0.25,Nuclear power phase-out - Wikipedia,https://en.wikipedia.org/wiki/Nuclear_power_phase-out,shut+down,germany+shut+down,lockdown,germany,,"Following the March 2011 Fukushima nuclear disaster, Germany has permanently shut down eight of its 17 reactors. Galvanised by the"
4,BERLIN — The German government on Thursday banned two clubs linked to an anti-Semitic movement that refuses to recognize the modern ...,startpage,[5],https://www.nytimes.com/2020/03/19/wor[...]europe/germany-reich-citizens-ban.html,2020-03-19 23:40:58,"Mar 19, 2020",0.2,Germany Shuts Down Far-Right Clubs That Deny the Modern State ...,https://www.nytimes.com/2020/03/19/world/europe/germany-reich-citizens-ban.html,shut+down,germany+shut+down,lockdown,germany,2020-03-19 23:40:58,BERLIN — The German government on Thursday banned two clubs linked to an anti-Semitic movement that refuses to recognize the modern
5,"This week, serious restrictions on public life go into effect across Germany. Many states have closed schools, cinemas, public swimming pools ...",startpage,[6],https://www.spiegel.de/international/g[...]a-3c541d1d-1d42-4672-9fdc-af6c3247df76,2020-03-16 00:00:00,"Mar 16, 2020",0.16666666666666666,"Closures, Controls and Other Restrictions: The Shutdown Begins ...",https://www.spiegel.de/international/germany/the-shutdown-begins-across-germany-a-3c541d1d-1d42-4672-9fdc-af6c3247df76,shut+down,germany+shut+down,lockdown,germany,2020-03-16 00:00:00,"This week, serious restrictions on public life go into effect across Germany. Many states have closed schools, cinemas, public swimming pools"
6,Drastic Measures Germany Moves To Shut Down Most of Public Life. The German government and the federal states have agreed to severe ...,startpage,[7],https://www.spiegel.de/international/g[...]a-093655fd-386f-40b6-af01-e24a8cb02f6a,2020-03-16 00:00:00,"Mar 16, 2020",0.14285714285714285,Drastic Measures: Germany Moves To Shut Down Most of Public Life,https://www.spiegel.de/international/germany/germany-moves-to-shut-down-most-of-public-life-a-093655fd-386f-40b6-af01-e24a8cb02f6a,shut+down,germany+shut+down,lockdown,germany,2020-03-16 00:00:00,Drastic Measures Germany Moves To Shut Down Most of Public Life. The German government and the federal states have agreed to severe
7,"Italy Struck by Deadliest Day as Virus Prompts Industry Shutdown. By ... Germany, long a holdout on deficit spending, pledged new debt worth ...",startpage,[8],https://www.bloomberg.com/news/article[...]-spending-of-eu150-billion-scholz-says,2020-03-21 23:40:58,"Mar 21, 2020",0.125,Virus News: Italian Industry Shuts Down - Bloomberg,https://www.bloomberg.com/news/articles/2020-03-21/germany-plans-extra-spending-of-eu150-billion-scholz-says,shut+down,germany+shut+down,lockdown,germany,2020-03-21 23:40:58,"Italy Struck by Deadliest Day as Virus Prompts Industry Shutdown. By Germany, long a holdout on deficit spending, pledged new debt worth"
8,"Schools had already been shut down, but Chancellor Angela Merkel on Monday ordered a ban on religious services and the closing of most ...",startpage,[9],https://www.npr.org/sections/goatsands[...]en-restrictions-to-control-coronavirus,2020-03-17 00:00:00,"Mar 17, 2020",0.1111111111111111,"EU Locks Down Borders As France, Germany Tighten Restrictions ...",https://www.npr.org/sections/goatsandsoda/2020/03/17/816994811/eu-to-shut-borders-as-france-germany-tighten-restrictions-to-control-coronavirus,shut+down,germany+shut+down,lockdown,germany,2020-03-17 00:00:00,"Schools had already been shut down, but Chancellor Angela Merkel on Monday ordered a ban on religious services and the closing of most"
9,"ON. German nuclear power units. Plant, Type, MWe (net), Commercial operation, Operator, Provisionally scheduled shutdown 2001 ...",startpage,[10],https://www.world-nuclear.org/informat[...]ry-profiles/countries-g-n/germany.aspx,,,0.1,Nuclear Power in Germany - World Nuclear Association,https://www.world-nuclear.org/information-library/country-profiles/countries-g-n/germany.aspx,shut+down,germany+shut+down,lockdown,germany,,"ON. German nuclear power units. Plant, Type, MWe (net), Commercial operation, Operator, Provisionally scheduled shutdown 2001"
0,Travelers should be prepared for the possibility that additional travel restrictions will be implemented with little or no advance notice. The most ...,startpage,[1],https://de.usembassy.gov/covid-19-information/,2020-03-23 23:41:00,"Mar 23, 2020",1.0,COVID-19 Information | U.S. Embassy & Consulates in Germany,https://de.usembassy.gov/covid-19-information/,travel+restrictions,germany+travel+restrictions,boarders,germany,2020-03-23 23:41:00,Travelers should be prepared for the possibility that additional travel restrictions will be implemented with little or no advance notice. The most
1,"EU leaders agree to implement a 30-day travel ban on those traveling from outside the EU, with a limited number of exceptions. German ...",startpage,[2],https://www.dw.com/en/coronavirus-late[...]mplements-non-eu-travel-ban/a-52802039,2020-03-17 00:00:00,"Mar 17, 2020",0.5,Coronavirus latest: Germany implements non-EU travel ban | DW ...,https://www.dw.com/en/coronavirus-latest-germany-implements-non-eu-travel-ban/a-52802039,travel+restrictions,germany+travel+restrictions,boarders,germany,2020-03-17 00:00:00,"EU leaders agree to implement a 30-day travel ban on those traveling from outside the EU, with a limited number of exceptions. German"
2,"The European Union is locking down its borders, imposing a 30-day entry ban on nonessential travel for non-EU citizens to slow the spread of ...",startpage,[3],https://www.npr.org/sections/goatsands[...]en-restrictions-to-control-coronavirus,2020-03-17 00:00:00,"Mar 17, 2020",0.3333333333333333,"EU Locks Down Borders As France, Germany Tighten Restrictions ...",https://www.npr.org/sections/goatsandsoda/2020/03/17/816994811/eu-to-shut-borders-as-france-germany-tighten-restrictions-to-control-coronavirus,travel+restrictions,germany+travel+restrictions,boarders,germany,2020-03-17 00:00:00,"The European Union is locking down its borders, imposing a 30-day entry ban on nonessential travel for non-EU citizens to slow the spread of"
3,"Any country or area may restrict travel without notice. If you live in the UK and are currently travelling abroad, you are strongly advised to return now, where and ...",startpage,[4],https://www.gov.uk/foreign-travel-advice/germany,,,0.25,Germany travel advice - GOV.UK,https://www.gov.uk/foreign-travel-advice/germany,travel+restrictions,germany+travel+restrictions,boarders,germany,,"Any country or area may restrict travel without notice. If you live in the UK and are currently travelling abroad, you are strongly advised to return now, where and"
4,1 day ago ...,startpage,[5],https://www.theguardian.com/travel/202[...]restrictions-and-fco-warnings-in-place,,,0.2,Coronavirus travel updates: which countries have restrictions and ...,https://www.theguardian.com/travel/2020/mar/24/coronavirus-travel-updates-which-countries-have-restrictions-and-fco-warnings-in-place,travel+restrictions,germany+travel+restrictions,boarders,germany,,2020-03-24
5,"Entry: travel restrictions and border controls. Germany has introduced travel restrictions for entries from outside the Schengen area on March 17, ...",startpage,[6],https://www.auswaertiges-amt.de/en/coronavirus/2317268,2020-03-22 23:41:00,"Mar 22, 2020",0.16666666666666666,Coronavirus and entry restrictions: 4 things travelers to Germany ...,https://www.auswaertiges-amt.de/en/coronavirus/2317268,travel+restrictions,germany+travel+restrictions,boarders,germany,2020-03-22 23:41:00,"Entry: travel restrictions and border controls. Germany has introduced travel restrictions for entries from outside the Schengen area on March 17,"
6,"Information and developments from the German Federal Ministry of ... restrictions in international air and other travel, worldwide restrictions on ...",startpage,[7],https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,2020-03-18 00:00:00,"Mar 18, 2020",0.14285714285714285,Coronavirus Disease (COVID-19) | Current Status | FAQ,https://www.bundesgesundheitsministerium.de/en/press/2020/coronavirus.html,travel+restrictions,germany+travel+restrictions,boarders,germany,2020-03-18 00:00:00,"Information and developments from the German Federal Ministry of restrictions in international air and other travel, worldwide restrictions on"
7,"Many airports are closing, preventing flights from leaving. Exit bans are becoming more frequent. New restrictions may be imposed with little warning. Your travel ...",startpage,[8],https://travel.gc.ca/destinations/germany,,,0.125,Travel advice and advisories for Germany,https://travel.gc.ca/destinations/germany,travel+restrictions,germany+travel+restrictions,boarders,germany,,"Many airports are closing, preventing flights from leaving. Exit bans are becoming more frequent. New restrictions may be imposed with little warning. Your travel"
8,16 Mar 2020 ...,startpage,[9],https://www.bbc.com/news/world-europe-51905129,,,0.1111111111111111,Germany closes borders to try to slow virus,https://www.bbc.com/news/world-europe-51905129,travel+restrictions,germany+travel+restrictions,boarders,germany,,2020-03-16
9,"Some other countries have imposed travel restrictions, including a ban on entry or quarantine on arrival, for travellers from Germany. We now advise you to:.",startpage,[10],https://www.smartraveller.gov.au/destinations/europe/germany,,,0.1,Germany Travel Advice & Safety | Smartraveller,https://www.smartraveller.gov.au/destinations/europe/germany,travel+restrictions,germany+travel+restrictions,boarders,germany,,"Some other countries have imposed travel restrictions, including a ban on entry or quarantine on arrival, for travellers from Germany. We now advise you to:."
0,18 Mar 2020 ...,startpage,[1],https://www.politico.eu/article/german[...]borders-to-eu-travelers-minister-says/,,,1.0,"Germany expands border controls for EU travelers, minister says",https://www.politico.eu/article/germany-closing-borders-to-eu-travelers-minister-says/,closes+boarders,germany+closes+boarders,boarders,germany,,2020-03-18
1,15 Mar 2020 ...,startpage,[2],https://www.politico.eu/article/german[...]artially-close-borders-with-neighbors/,,,0.5,Germany to partially close borders with neighbors,https://www.politico.eu/article/germany-to-partially-close-borders-with-neighbors/,closes+boarders,germany+closes+boarders,boarders,germany,,2020-03-15
2,"Coronavirus COVID-19; air borders with Spain, Italy,France, Germany and Austria;; (16 March – 15 April 2020) Coronavirus COVID-19; land borders with France ...",startpage,[3],https://ec.europa.eu/home-affairs/what[...]engen/reintroduction-border-control_en,,,0.3333333333333333,Temporary Reintroduction of Border Control - European Commission,https://ec.europa.eu/home-affairs/what-we-do/policies/borders-and-visas/schengen/reintroduction-border-control_en,closes+boarders,germany+closes+boarders,boarders,germany,,"Coronavirus COVID-19; air borders with Spain, Italy,France, Germany and Austria;; (16 March – 15 April 2020) Coronavirus COVID-19; land borders with France"
3,German officials announced Wednesday that the country will ban travel from European Union (EU) countries as part of the country's efforts to ...,startpage,[4],https://thehill.com/policy/internation[...]osing-its-borders-to-travelers-from-eu,2020-03-18 00:00:00,"Mar 18, 2020",0.25,Germany closing its borders to travelers from EU | TheHill,https://thehill.com/policy/international/488310-germany-closing-its-borders-to-travelers-from-eu,closes+boarders,germany+closes+boarders,boarders,germany,2020-03-18 00:00:00,German officials announced Wednesday that the country will ban travel from European Union (EU) countries as part of the country's efforts to
4,"Germany Introduces Rigorous Border Checks as Coronavirus Precaution ... gathering spots, such as bars, restaurants and discos to close.",startpage,[5],https://www.schengenvisainfo.com/news/[...]cks-as-coronavirus-precaution-measure/,2020-02-29 00:00:00,"Feb 29, 2020",0.2,Germany Introduces Rigorous Border Checks as Coronavirus ...,https://www.schengenvisainfo.com/news/germany-introduces-rigorous-border-checks-as-coronavirus-precaution-measure/,closes+boarders,germany+closes+boarders,boarders,germany,2020-02-29 00:00:00,"Germany Introduces Rigorous Border Checks as Coronavirus Precaution gathering spots, such as bars, restaurants and discos to close."
