,content,engine,positions,pretty_url,pubdate,score,title,url,searchvalue,searchquery,ResponseCategory,country,contentDate,Date
10,9 Mar 2020 ...,startpage,[5],https://www.bbc.com/news/world-middle-east-51809818,,0.2,Israel declares 14-day quarantine for all arrivals,https://www.bbc.com/news/world-middle-east-51809818,quarantin+impose,israel+quarantin+impose,lockdown,israel,2020-03-09,2020-03-09 00:00:00
11,"Israel will require anyone arriving from overseas to self-quarantine for 14 days as a precaution against the spread of coronavirus, Prime ...",startpage,[6],https://www.algemeiner.com/2020/03/09/[...]oronavirus-quarantine-on-all-arrivals/,2020-03-09 00:00:00,0.16666666666666666,Israel Imposes Unprecedented Mandatory 14-Day Coronavirus ...,https://www.algemeiner.com/2020/03/09/israel-imposes-unprecedented-mandatory-14-day-coronavirus-quarantine-on-all-arrivals/,quarantin+impose,israel+quarantin+impose,lockdown,israel,"Israel will require anyone arriving from overseas to self-quarantine for 14 days as a precaution against the spread of coronavirus, Prime",2020-03-09 00:00:00
12,"Israel will impose a two-week quarantine on all travellers entering the country, Prime Minister Benjamin Netanyahu said Monday, toughening ...",startpage,[7],https://m.economictimes.com/news/inter[...]-all-arrivals/articleshow/74560395.cms,2020-03-10 00:00:00,0.14285714285714285,Coronavirus: Israel PM announces two-week quarantine for all arrivals,https://m.economictimes.com/news/international/world-news/coronavirus-israel-pm-announces-two-week-quarantine-for-all-arrivals/articleshow/74560395.cms,quarantin+impose,israel+quarantin+impose,lockdown,israel,"Israel will impose a two-week quarantine on all travellers entering the country, Prime Minister Benjamin Netanyahu said Monday, toughening",2020-03-10 00:00:00
13,"Israel is expected to impose further restrictions and regulations on the ... out in the country, more than 200,000 Israelis have entered quarantine.",startpage,[8],https://www.jpost.com/Israel-News/Isra[...]as-coronavirus-crisis-continues-620887,2020-03-14 00:00:00,0.125,"Israel to restrict movement, work, as coronavirus crisis continues ...",https://www.jpost.com/Israel-News/Israel-to-restrict-movement-work-as-coronavirus-crisis-continues-620887,quarantin+impose,israel+quarantin+impose,lockdown,israel,"Israel is expected to impose further restrictions and regulations on the out in the country, more than 200,000 Israelis have entered quarantine.",2020-03-14 00:00:00
14,"Israel will impose a two-week quarantine on all travellers entering the country, Prime Minister Benjamin Netanyahu said Monday, toughening ...",startpage,[9],https://economictimes.indiatimes.com/n[...]-all-arrivals/articleshow/74560395.cms,2020-03-10 00:00:00,0.1111111111111111,Coronavirus: Israel PM announces two-week quarantine for all arrivals,https://economictimes.indiatimes.com/news/international/world-news/coronavirus-israel-pm-announces-two-week-quarantine-for-all-arrivals/articleshow/74560395.cms,quarantin+impose,israel+quarantin+impose,lockdown,israel,"Israel will impose a two-week quarantine on all travellers entering the country, Prime Minister Benjamin Netanyahu said Monday, toughening",2020-03-10 00:00:00
15,11 Mar 2020 ...,startpage,[10],https://www.thejc.com/news/uk-news/unc[...]ael-imposes-14-day-quarantine-1.497913,,0.1,Uncertainty over families' Pesach travel plans after Israel mandates ...,https://www.thejc.com/news/uk-news/uncertainty-over-jewish-families-pesach-travel-plans-as-israel-imposes-14-day-quarantine-1.497913,quarantin+impose,israel+quarantin+impose,lockdown,israel,2020-03-11,2020-03-11 00:00:00
16,"The government will reportedly shut down public transportation, order all ... put many Israelis have continued to venture out, for work or leisure, ...",startpage,[1],https://www.timesofisrael.com/no-buses[...]w-restrictions-said-set-to-be-applied/,2020-03-24 01:26:31,1.0,"No buses, strolls or shopping: Drastic new restrictions said set to be ...",https://www.timesofisrael.com/no-buses-strolls-or-shopping-drastic-new-restrictions-said-set-to-be-applied/,shutdown+shops,israel+shutdown+shops,lockdown,israel,"The government will reportedly shut down public transportation, order all put many Israelis have continued to venture out, for work or leisure,",2020-03-24 01:26:31
17,"An Israeli woman shops at a supermarket in Jerusalem on March 14, ... that all educational institutions would be shut down starting Sunday, ...",startpage,[2],https://www.timesofisrael.com/no-more-[...]yer-quorums-the-new-virus-regulations/,2020-03-15 00:00:00,0.5,"No more daycare, restaurants, gyms or shopping malls: The new ...",https://www.timesofisrael.com/no-more-daycare-restaurants-gyms-or-prayer-quorums-the-new-virus-regulations/,shutdown+shops,israel+shutdown+shops,lockdown,israel,"An Israeli woman shops at a supermarket in Jerusalem on March 14, that all educational institutions would be shut down starting Sunday,",2020-03-15 00:00:00
18,JERUSALEM (AP) — Israel's parliament reconvened Monday after the country's Supreme Court ordered it to reopen for the selection of a new ...,startpage,[3],https://rapidcityjournal.com/news/worl[...]e1128-6cc7-5091-af76-71e456bcddc0.html,2020-03-23 01:26:31,0.3333333333333333,Israeli parliament reconvenes after 5-day shutdown | World ...,https://rapidcityjournal.com/news/world/israeli-parliament-reconvenes-after--day-shutdown/article_aa1e1128-6cc7-5091-af76-71e456bcddc0.html,shutdown+shops,israel+shutdown+shops,lockdown,israel,JERUSALEM (AP) — Israel's parliament reconvened Monday after the country's Supreme Court ordered it to reopen for the selection of a new,2020-03-23 01:26:31
19,"How can I earn my living now?” said Mohammed Gamal, a worker in a coffee shop that was shut down. In Israel, which reported 427 infections, ...",startpage,[5],https://abcnews.go.com/International/w[...]fatalities-virus-numbers-rise-69658922,2020-03-18 00:00:00,0.2,"Virus death toll spikes in Iran, with total now at 1,135 - ABC News",https://abcnews.go.com/International/wireStory/israeli-government-warns-fatalities-virus-numbers-rise-69658922,shutdown+shops,israel+shutdown+shops,lockdown,israel,"How can I earn my living now?” said Mohammed Gamal, a worker in a coffee shop that was shut down. In Israel, which reported 427 infections,",2020-03-18 00:00:00
20,"Running Out of iPhones, Vacuums and Fish: Coronavirus Shutdown Hits Israeli Stores. China's manufacturing shutdown, in an attempt to contain ...",startpage,[6],https://www.haaretz.com/israel-news/bu[...]shutdown-hits-israeli-stores-1.8525466,2020-02-12 00:00:00,0.16666666666666666,"Running out of iPhones, vacuums and fish: Coronavirus shutdown ...",https://www.haaretz.com/israel-news/business/.premium-running-out-of-iphones-vacuums-and-fish-coronavirus-shutdown-hits-israeli-stores-1.8525466,shutdown+shops,israel+shutdown+shops,lockdown,israel,"Running Out of iPhones, Vacuums and Fish: Coronavirus Shutdown Hits Israeli Stores. China's manufacturing shutdown, in an attempt to contain",2020-02-12 00:00:00
21,Some entrepreneurs hurt by the coronavirus shutdown say they're facing ... The Sephardi Chief Rabbi of Israel ruled Wednesday that observant Jews can use ... FRANCE: The country closed most shops and markets Monday.,startpage,[7],https://www.washingtonpost.com/world/2020/03/18/coronavirus-latest-news/,2020-03-20 01:26:31,0.14285714285714285,Trump signs bill to ensure paid leave for many Americans - The ...,https://www.washingtonpost.com/world/2020/03/18/coronavirus-latest-news/,shutdown+shops,israel+shutdown+shops,lockdown,israel,Some entrepreneurs hurt by the coronavirus shutdown say they're facing The Sephardi Chief Rabbi of Israel ruled Wednesday that observant Jews can use FRANCE: The country closed most shops and markets Monday.,2020-03-20 01:26:31
22,"France and Israel moved on Saturday to close restaurants, cafes, movie ... travel restrictions to the entire country until April 3 and shuttered all retailers and ... Italy tightens coronavirus shutdown, closes all businesses except ...",startpage,[8],https://www.axios.com/coronavirus-isra[...]6793a-7c15-4618-99da-077b9ecf2575.html,2020-03-14 00:00:00,0.125,Israel and France to close restaurants and cafes - Axios,https://www.axios.com/coronavirus-israel-france-pandemic-cfa6793a-7c15-4618-99da-077b9ecf2575.html,shutdown+shops,israel+shutdown+shops,lockdown,israel,"France and Israel moved on Saturday to close restaurants, cafes, movie travel restrictions to the entire country until April 3 and shuttered all retailers and Italy tightens coronavirus shutdown, closes all businesses except",2020-03-14 00:00:00
23,"Israeli police officers order owners to shut down their shops in order to reduce the spread of the coronavirus, at a food market in Tel Aviv, Israel, ...",startpage,[9],https://www.heraldbulletin.com/news/na[...]b8c7f-bf78-52a4-a3ed-31b59740ce8b.html,2020-03-23 01:26:31,0.1111111111111111,Israeli Supreme Court to rule on demand to reopen parliament ...,https://www.heraldbulletin.com/news/nation_world/israeli-supreme-court-to-rule-on-demand-to-reopen-parliament/article_33db8c7f-bf78-52a4-a3ed-31b59740ce8b.html,shutdown+shops,israel+shutdown+shops,lockdown,israel,"Israeli police officers order owners to shut down their shops in order to reduce the spread of the coronavirus, at a food market in Tel Aviv, Israel,",2020-03-23 01:26:31
24,"Police ordered closed several shops that were open in Beirut in violation of the shutdown order, and a group of swimmers were cleared from ...",startpage,[10],https://www.jpost.com/Middle-East/Leba[...]-now-faces-coronavirus-shutdown-621162,2020-03-16 00:00:00,0.1,Lebanon now faces coronavirus shutdown - The Jerusalem Post,https://www.jpost.com/Middle-East/Lebanon-now-faces-coronavirus-shutdown-621162,shutdown+shops,israel+shutdown+shops,lockdown,israel,"Police ordered closed several shops that were open in Beirut in violation of the shutdown order, and a group of swimmers were cleared from",2020-03-16 00:00:00
25,"In recent days, Netanyahu and his surrogates have shut down Israel's court system in advance of his trial on corruption charges, have begun ...",startpage,[1],https://www.aljazeera.com/news/2020/03[...]oronavirus-crisis-200319172525611.html,2020-03-20 01:26:32,1.0,Netanyahu accused of dictatorship amid coronavirus crisis | News ...,https://www.aljazeera.com/news/2020/03/netanyahu-accused-dictatorship-coronavirus-crisis-200319172525611.html,shut+down,israel+shut+down,lockdown,israel,"In recent days, Netanyahu and his surrogates have shut down Israel's court system in advance of his trial on corruption charges, have begun",2020-03-20 01:26:32
26,Israel's prime minister has shut down the courts and ordered the government to track people by their cellphone data in the name of fighting an ...,startpage,[2],https://www.nytimes.com/2020/03/18/wor[...]middleeast/israel-virus-netanyahu.html,2020-03-18 00:00:00,0.5,Netanyahu's Bold Moves: Fighting a Virus or Risking Democracy ...,https://www.nytimes.com/2020/03/18/world/middleeast/israel-virus-netanyahu.html,shut+down,israel+shut+down,lockdown,israel,Israel's prime minister has shut down the courts and ordered the government to track people by their cellphone data in the name of fighting an,2020-03-18 00:00:00
27,"By next Monday, Israel may well be under total shutdown due to the coronavirus, led by a government that was inaugurated five years and four ...",startpage,[3],https://www.haaretz.com/israel-news/el[...]raeli-democracy-is-shut-down-1.8688367,2020-03-20 01:26:32,0.3333333333333333,"For the first time ever, Israeli democracy has been shut down - Haaretz",https://www.haaretz.com/israel-news/elections/.premium-for-first-time-ever-israeli-democracy-is-shut-down-1.8688367,shut+down,israel+shut+down,lockdown,israel,"By next Monday, Israel may well be under total shutdown due to the coronavirus, led by a government that was inaugurated five years and four",2020-03-20 01:26:32
28,5 days ago ...,startpage,[4],https://www.middleeasteye.net/news/cor[...]own-authorities-continue-evict-bedouin,,0.25,"Coronavirus: As Israel shuts down, authorities destroy Bedouin crops",https://www.middleeasteye.net/news/coronavirus-israel-shut-down-authorities-continue-evict-bedouin,shut+down,israel+shut+down,lockdown,israel,2020-03-21,2020-03-21 00:00:00
29,"Israel's prime minister has shut down courts, ordered the internal security services to covertly track citizens using cellphone data and has ...",startpage,[5],https://www.latimes.com/world-nation/s[...]020-03-18/israel-coronavirus-netanyahu,2020-03-18 00:00:00,0.2,Critics in Israel say Netanyahu using coronavirus as pretext for ...,https://www.latimes.com/world-nation/story/2020-03-18/israel-coronavirus-netanyahu,shut+down,israel+shut+down,lockdown,israel,"Israel's prime minister has shut down courts, ordered the internal security services to covertly track citizens using cellphone data and has",2020-03-18 00:00:00
30,"Israeli's Benjamin Netanyahu ordered the closing of non-essential businesses and advised workers to stay away from offices, the latest steps ...",startpage,[6],https://www.bloomberg.com/news/article[...]down-of-economy-in-fight-against-virus,2020-03-14 00:00:00,0.16666666666666666,Israel Orders Partial Shutdown of Economy in Fight Against Virus ...,https://www.bloomberg.com/news/articles/2020-03-14/israel-orders-partial-shutdown-of-economy-in-fight-against-virus,shut+down,israel+shut+down,lockdown,israel,"Israeli's Benjamin Netanyahu ordered the closing of non-essential businesses and advised workers to stay away from offices, the latest steps",2020-03-14 00:00:00
31,The government is expected to announce further steps designed to shut down most of the market within several days.,startpage,[7],https://www.jpost.com/Israel-News/Isra[...]as-coronavirus-crisis-continues-620887,2020-03-14 00:00:00,0.14285714285714285,"Israel to restrict movement, work, as coronavirus crisis continues ...",https://www.jpost.com/Israel-News/Israel-to-restrict-movement-work-as-coronavirus-crisis-continues-620887,shut+down,israel+shut+down,lockdown,israel,The government is expected to announce further steps designed to shut down most of the market within several days.,2020-03-14 00:00:00
32,"Over the weekend, Israel shut down its land border with Egypt and restricted crossings from Jordan. International airlines have already reduced or ...",startpage,[8],https://www.ft.com/content/40d25f30-6237-11ea-b3f3-fe4680ea68b5,2020-03-09 00:00:00,0.125,Israel forces all international travellers to self-isolate for two weeks,https://www.ft.com/content/40d25f30-6237-11ea-b3f3-fe4680ea68b5,shut+down,israel+shut+down,lockdown,israel,"Over the weekend, Israel shut down its land border with Egypt and restricted crossings from Jordan. International airlines have already reduced or",2020-03-09 00:00:00
33,Netanyahu will choice between ordering a general shutdown of the ... Prime Minister Benjamin Netanyahu told Israelis on Thursday there was ...,startpage,[9],https://www.timesofisrael.com/liveblog-march-14-2020/,2020-03-14 00:00:00,0.1111111111111111,"As courts put on emergency footing, speculation Netanyahu trial ...",https://www.timesofisrael.com/liveblog-march-14-2020/,shut+down,israel+shut+down,lockdown,israel,Netanyahu will choice between ordering a general shutdown of the Prime Minister Benjamin Netanyahu told Israelis on Thursday there was,2020-03-14 00:00:00
34,"JERUSALEM (JTA) — Knesset Speaker Yuli Edelstein has adjourned the Israeli parliament until Monday, citing the need for talks on a unity ...",startpage,[10],https://www.jta.org/2020/03/18/israel/[...]ending-agreement-on-forming-committees,2020-03-18 00:00:00,0.1,Israeli parliament shut down in move critics call a breach of democracy,https://www.jta.org/2020/03/18/israel/knesset-speaker-closes-parliament-pending-agreement-on-forming-committees,shut+down,israel+shut+down,lockdown,israel,"JERUSALEM (JTA) — Knesset Speaker Yuli Edelstein has adjourned the Israeli parliament until Monday, citing the need for talks on a unity",2020-03-18 00:00:00
35,"Tourists visiting Israel will be required to leave the country in the coming days, as part of new travel restrictions to block the spread of the ...",startpage,[1],https://www.timesofisrael.com/tourists[...]el-as-part-of-new-travel-restrictions/,2020-03-10 00:00:00,1.0,Tourists will need to leave Israel as part of new travel restrictions ...,https://www.timesofisrael.com/tourists-will-need-to-leave-israel-as-part-of-new-travel-restrictions/,travel+restrictions,israel+travel+restrictions,boarders,israel,"Tourists visiting Israel will be required to leave the country in the coming days, as part of new travel restrictions to block the spread of the",2020-03-10 00:00:00
36,Travelers should be prepared for travel restrictions related to COVID-19 to be put into effect with little or no advance notice. Flights into or out of ...,startpage,[3],https://il.usembassy.gov/covid-19-information/,2020-03-23 01:26:33,0.3333333333333333,COVID-19 Information | U.S. Embassy in Israel,https://il.usembassy.gov/covid-19-information/,travel+restrictions,israel+travel+restrictions,boarders,israel,Travelers should be prepared for travel restrictions related to COVID-19 to be put into effect with little or no advance notice. Flights into or out of,2020-03-23 01:26:33
37,"Any country or area may restrict travel without notice. If you live in the UK and are currently travelling abroad, you are strongly advised to return ...",startpage,[4],https://www.gov.uk/foreign-travel-advice/israel,2020-03-20 01:26:33,0.25,Israel travel advice - GOV.UK,https://www.gov.uk/foreign-travel-advice/israel,travel+restrictions,israel+travel+restrictions,boarders,israel,"Any country or area may restrict travel without notice. If you live in the UK and are currently travelling abroad, you are strongly advised to return",2020-03-20 01:26:33
38,"The Government of Israel is continually updating its travel restrictions and quarantine policies. In addition, the Israeli Population and Immigration ...",startpage,[5],https://travel.state.gov/content/trave[...]est-bank-and-gaza-travel-advisory.html,2020-03-13 00:00:00,0.2,"Israel, The West Bank and Gaza Travel Advisory",https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/israel-west-bank-and-gaza-travel-advisory.html,travel+restrictions,israel+travel+restrictions,boarders,israel,"The Government of Israel is continually updating its travel restrictions and quarantine policies. In addition, the Israeli Population and Immigration",2020-03-13 00:00:00
39,"To prevent the spread of COVID−19, Israel and the Palestinian Authority have introduced additional travel restrictions. Israel is denying entry to ...",startpage,[7],https://www.smartraveller.gov.au/desti[...]ast/israel-and-palestinian-territories,2020-03-20 01:26:33,0.14285714285714285,Israel and the Palestinian Territories Travel Advice & Safety ...,https://www.smartraveller.gov.au/destinations/middle-east/israel-and-palestinian-territories,travel+restrictions,israel+travel+restrictions,boarders,israel,"To prevent the spread of COVID−19, Israel and the Palestinian Authority have introduced additional travel restrictions. Israel is denying entry to",2020-03-20 01:26:33
40,5 days ago ...,startpage,[10],https://www.theguardian.com/travel/202[...]uk-countries-restrictions-fco-warnings,,0.1,Coronavirus travel updates: which countries have restrictions and ...,https://www.theguardian.com/travel/2020/mar/20/coronavirus-travel-ban-advice-updates-uk-countries-restrictions-fco-warnings,travel+restrictions,israel+travel+restrictions,boarders,israel,2020-03-21,2020-03-21 00:00:00
41,Foreign citizens will be granted entry into Israel only if they can meet the requirement of a 14-day home-quarantine.,startpage,[1],"https://www.calcalistech.com/ctech/articles/0,7340,L-3799925,00.html",2020-03-09 00:00:00,1.0,"For Fear of Coronavirus, Israel Closes all Borders - CTech","https://www.calcalistech.com/ctech/articles/0,7340,L-3799925,00.html",closes+boarders,israel+closes+boarders,boarders,israel,Foreign citizens will be granted entry into Israel only if they can meet the requirement of a 14-day home-quarantine.,2020-03-09 00:00:00
42,9 Mar 2020 ...,startpage,[2],https://www.middleeastmonitor.com/2020[...]-egypt-borders-amid-coronavirus-fears/,,0.5,Israel closes Egypt borders amid coronavirus fears,https://www.middleeastmonitor.com/20200309-israel-closes-egypt-borders-amid-coronavirus-fears/,closes+boarders,israel+closes+boarders,boarders,israel,2020-03-09,2020-03-09 00:00:00
43,10 Mar 2020 ...,startpage,[3],https://www.thejc.com/news/israel/isra[...]gners-who-cannot-self-isolate-1.497881,,0.3333333333333333,Israel set to quarantine all arrivals from abroad amid 58 confirmed ...,https://www.thejc.com/news/israel/israeli-coronavirus-crackdown-closes-border-to-all-foreigners-who-cannot-self-isolate-1.497881,closes+boarders,israel+closes+boarders,boarders,israel,2020-03-10,2020-03-10 00:00:00
44,Israel closed its borders with Syria and Lebanon on Friday amid rising fears of virus outbreak - Anadolu Agency.,startpage,[4],https://www.aa.com.tr/en/latest-on-cor[...]-with-egypt-due-to-coronavirus/1758801,2020-03-08 00:00:00,0.25,Israel closes land border with Egypt due to coronavirus,https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/israel-closes-land-border-with-egypt-due-to-coronavirus/1758801,closes+boarders,israel+closes+boarders,boarders,israel,Israel closed its borders with Syria and Lebanon on Friday amid rising fears of virus outbreak - Anadolu Agency.,2020-03-08 00:00:00
45,"You mistakenly think, 'Oh, we closed our borders. We're fine.'” The Israeli government has defended all measures put in place, including border ...",startpage,[5],https://www.timesofisrael.com/doctors-[...]uld-help-israel-fight-spread-of-virus/,2020-03-08 00:00:00,0.2,Doctors union head: Keeping borders open could help Israel fight ...,https://www.timesofisrael.com/doctors-union-head-keeping-borders-open-could-help-israel-fight-spread-of-virus/,closes+boarders,israel+closes+boarders,boarders,israel,"You mistakenly think, 'Oh, we closed our borders. We're fine.'” The Israeli government has defended all measures put in place, including border",2020-03-08 00:00:00
46,"To adapt the apocryphal British newspaper headline ""Fog in channel - Continent cut off,"" Israel is setting about containing the Covid-19 virus by ...",startpage,[7],https://en.globes.co.il/en/article-isr[...]loses-borders-world-cut-off-1001320711,2020-03-05 00:00:00,0.14285714285714285,"Israel closes borders, world cut off - Globes",https://en.globes.co.il/en/article-israel-closes-borders-world-cut-off-1001320711,closes+boarders,israel+closes+boarders,boarders,israel,"To adapt the apocryphal British newspaper headline ""Fog in channel - Continent cut off,"" Israel is setting about containing the Covid-19 virus by",2020-03-05 00:00:00
47,File photo of the Taba border crossing between Egypt and Israel. All Israeli nationals returning from Egypt are required to spend 14 days in ...,startpage,[8],https://www.i24news.tv/en/news/israel/[...]sing-into-egypt-over-coronavirus-fears,2020-03-08 00:00:00,0.125,Israel closes border crossing into Egypt over coronavirus ... - i24NEWS,https://www.i24news.tv/en/news/israel/diplomacy-defense/1583680035-israel-closes-border-crossing-into-egypt-over-coronavirus-fears,closes+boarders,israel+closes+boarders,boarders,israel,File photo of the Taba border crossing between Egypt and Israel. All Israeli nationals returning from Egypt are required to spend 14 days in,2020-03-08 00:00:00
48,"""We might be forced, in coordination with the Israeli side, to close the bridge [crossing] in the coming days, and hopefully we will not have to do ...",startpage,[9],https://www.jpost.com/Breaking-News/Pa[...]ordan-to-close-border-crossings-620306,2020-03-10 00:00:00,0.1111111111111111,Palestinian PM: We may close border with Jordan in coming days ...,https://www.jpost.com/Breaking-News/Palestinian-PM-Coordinating-with-Jordan-to-close-border-crossings-620306,closes+boarders,israel+closes+boarders,boarders,israel,"""We might be forced, in coordination with the Israeli side, to close the bridge [crossing] in the coming days, and hopefully we will not have to do",2020-03-10 00:00:00
49,"Land border crossings may be closed with little or no advance notice. As of March 18, the Government of Israel announced the closure of its ...",startpage,[10],https://il.usembassy.gov/covid-19-information/,2020-03-23 01:26:35,0.1,COVID-19 Information | U.S. Embassy in Israel,https://il.usembassy.gov/covid-19-information/,closes+boarders,israel+closes+boarders,boarders,israel,"Land border crossings may be closed with little or no advance notice. As of March 18, the Government of Israel announced the closure of its",2020-03-23 01:26:35
50,"Netanyahu announces 'tough, but vital decision' □ Order for Israelis ... travel restrictions, challenges in returning home or accessing health ...",startpage,[1],https://www.haaretz.com/israel-news/.p[...]quarantine-some-u-s-arrivals-1.8638322,2020-03-10 00:00:00,1.0,"Israel extends coronavirus quarantine orders to all arrivals, 58 cases ...",https://www.haaretz.com/israel-news/.premium-israeli-with-coronavirus-in-severe-condition-israel-may-quarantine-some-u-s-arrivals-1.8638322,Travel+ban,israel+Travel+ban,boarders,israel,"Netanyahu announces 'tough, but vital decision' □ Order for Israelis travel restrictions, challenges in returning home or accessing health",2020-03-10 00:00:00
